NAME		EXTENTIONS	FORMAT				ACTUAL						DESCRIPTION						Columns		        Encodings
c.bnez		RV32IC,RV64IC	c.bnez rs1', off		 						if (x[8+rs1'] != 0) pc += sext(off)			{3 2 1 3 2 2 1 2}	{111 off[8] off[4:3] rs1' off[7:6] off[2:1] off[5] 01}
c.ebreak	RV32IC,RV64IC	c.ebreak			 						RaiseException(Breakpoint)				{3 1 5 5 2}		{100 1 00000 00000 10}
c.fld		RV32DC,RV64DC	c.fld rd′, uimm(rs1')		 						f[8+rd′] = M[x[8+rs1′] + uimm][63:0]			{3 3 3 2 3 2}		{001 uimm[5:3] rs1' uimm[7:6] rd' 00}
c.fldsp		RV32DC,RV64DC	c.fldsp rd, uimm(x2)		 						f[rd] = M[x[2] + uimm][63:0]				{3 1 5 2 3 2}		{001 uimm[5] rd uimm[4:3] uimm[8:6] 10}
c.flw		RV32FC		c.flw rd′, uimm(rs1')		 						f[8+rd′] = M[x[8+rs1′] + uimm][31:0]			{C-LoadStore}		{011 rd'}
c.flwsp		RV32FC		c.flwsp rd, uimm(x2)		 						f[rd] = M[x[2] + uimm][31:0]				{3 1 5 3 2 2}		{011 uimm[5] rd uimm[4:2] uimm[7:6] 10}
c.fsd		RV32DC,RV64DC	c.fsd rs2′, uimm(rs1′)		 						M[x[8+rs1'] + uimm][63:0] = f[8+rs2′]			{3 3 3 2 3 2}		{101 uimm[5:3] rs1' uimm[7:6] rs2' 00}
c.fsdsp		RV32DC,RV64DC	c.fsdsp rs2, uimm(x2)		 						M[x[2] + uimm][63:0] = f[rs2]				{3 3 3 5 2}		{101 uimm[5:3] uimm[8:6] rs2 10}
c.fsw		RV32FC		c.fsw rs2′, uimm(rs1′)		 						M[x[8+rs1′] + uimm][31:0] = f[8+rs2′]			{C-LoadStore}		{111 rs2'}
c.fswsp		RV32FC		c.fswsp rs2, uimm(x2)		 						M[x[2] + uimm][31:0] = f[rs2]				{3 4 2 5 2}		{111 uimm[5:2] uimm[7:6] rs2 10}
c.j		RV32IC,RV64IC	c.j off				 						pc += sext(offset)					{3 1 1 2 1 1 1 3 1 2}	{101 off[11] off[4] off[9:8] off[10] off[6] off[7] off[3:1] off[5] 01}
c.jal		RV32IC		c.jal off			 						x[1] = pc+2; pc += sext(offset)				{3 1 1 2 1 1 1 3 1 2}	{001 off[11] off[4] off[9:8] off[10] off[6] off[7] off[3:1] off[5] 01}
c.jalr		RV32IC,RV64IC	c.jalr rs1			 						t = pc+2; pc = x[rs1]; x[1] = t				{3 1 5 5 2}		{100 1 rs1 00000 10}
c.jr		RV32IC,RV64IC	c.jr rs1			 						pc = x[rs1]						{3 1 5 5 2}		{100 0 rs1 00000 10}
c.ld		RV64IC		c.ld rd', uimm(rs1')		 						x[8+rd'] = M[x[8+rs1'] + uimm][63:0]			{3 3 3 2 3 2}		{011 uimm[5:3] rs1' uimm[7:6] rs2' 00}
c.ldsp		RV64IC		c.ldsp rd, uimm(x2)		 						x[rd] = M[x[2] + uimm][63:0]				{3 5 5 2 3 2}		{011 uimm[5] rd uimm[4:3] uimm[8:6] 10}
c.li		RV32IC,RV64IC	c.li rd, imm			 						x[rd] = sext(imm)					{3 1 5 5 2}		{010 imm[5] rd imm[4:0] 01}
c.lui		RV32IC,RV64IC	c.lui rd, imm			 						x[rd] = sext(imm[17:12] << 12)				{3 1 5 5 2}		{011 imm[17] rd imm[16:12] 01}
c.lw		RV32IC,RV64IC	c.lw rd', uimm(rs1')		 						x[8+rd'] = sext(M[x[8+rs1'] + uimm][31:0])		{C-LoadStore}		{010 rd'}
c.lwsp		RV32IC,RV64IC	c.lwsp rd, uimm(x2)		 						x[rd] = sext(M[x[2] + uimm][31:0])			{3 1 5 3 2 2}		{010 uimm[5] rd uimm[4:2] uimm[7:6] 10}
c.mv		RV32IC,RV64IC	c.mv rd, rs2			 						x[rd] = x[rs2]						{3 1 5 5 2}		{100 0 rd rs2 10}
c.or		RV32IC,RV64IC	c.or rd', rs2'			 						x[8+rd'] = x[8+rd'] | x[8+rs2']				{6 3 2 3 2}		{100011 rd' 10 rs2' 01}
c.sd		RV64IC		c.sd rs2', uimm(rs1')		 						M[x[8+rs1'] + uimm][63:0] = x[8+rs2']			{C-LoadStore}		{111 rs2'}
c.sdsp		RV64IC		c.sdsp rs2, uimm(x2)		 						M[x[2] + uimm][63:0] = x[rs2]				{3 3 3 5 2}		{111 uimm[5:3] uimm[8:6] rs2 10}
c.slli		RV32IC,RV64IC	c.slli rd, uimm			 						x[rd] = x[rd] << uimm					{3 1 5 5 2}		{000 uimm[5] rs uimm[4:0] 10}
c.srai		RV32IC,RV64IC	c.srai rd', uimm		 						x[8+rd'] = x[8+rd'] >>s uimm				{3 1 2 3 5 2}		{100 uimm[5] 01 rd' uimm[4:0] 01}
c.srli		RV32IC,RV64IC	c.srli rd', uimm		 						x[8+rd'] = x[8+rd'] >>u uimm				{3 1 2 3 5 2}		{100 uimm[5] 00 rd' uimm[4:0] 01}
c.sub		RV32IC,RV64IC	c.sub rd', rs2'			 						x[8+rd'] = x[8+rd'] - x[8+rs2']				{6 3 2 3 2}		{100011 rd' 00 rs2' 01}
c.subw		RV64IC		c.subw rd', rs2'		 						x[8+rd'] = sext((x[8+rd'] - x[8+rs2'])[31:0])		{6 3 2 3 2}		{100111 rd' 00 rs2' 01}
c.sw		RV64IC		c.sw rs2', uimm(rs1')		 						M[x[8+rs1'] + uimm][31:0] = x[8+rs2']			{C-LoadStore}		{110 rs2'}
c.swsp		RV32IC,RV64IC	c.swsp rs2, uimm(x2)		 						M[x[2] + uimm][31:0] = x[rs2]				{3 4 2 5 2}		{110 uimm[5:2] uimm[7:6] rs2 10}
c.xor		RV32IC,RV64IC	c.xor rd', rs2'			 						x[8+rd'] = x[8+rd'] ˆ x[8+rs2']				{6 3 2 3 2}		{100011 rd' 01 rs2' 01}
call		RV32I,RV64I	call rd, symbol			auipc rd, offsetHi; jalr rd, offsetLo(rd)	x[rd] = pc+8; pc = &symbol				{}			{}
csrr		RV32I,RV64I	csrr rd, csr			 						x[rd] = CSRs[csr]					{CSR-I}			{csr x0 010 rd 1110011}
csrc		RV32I,RV64I	csrc csr, rs1			 						CSRs[csr] &= ∼x[rs1]					{CSR-I}			{csr rs1 011 x0 1110011}
csrci		RV32I,RV64I	csrci csr, zimm[4:0]		 						CSRs[csr] &= ∼zimm					{CSRI-I}		{csr zimm[4:0] 111 x0 1110011}
csrrc		RV32I,RV64I	csrrc rd, csr, rs1		 						t = CSRs[csr]; CSRs[csr] = t &∼x[rs1]; x[rd] = t	{CSR-I}			{011}
csrrci		RV32I,RV64I	csrrci rd, csr, zimm[4:0]	 						t = CSRs[csr]; CSRs[csr] = t &∼zimm; x[rd] = t		{CSRI-I}		{111}
csrrs		RV32I,RV64I	csrrs rd, csr, rs1		 						t = CSRs[csr]; CSRs[csr] = t | x[rs1]; x[rd] = t	{CSR-I}			{010}
csrrsi		RV32I,RV64I	csrrsi rd, csr, zimm[4:0]	 						t = CSRs[csr]; CSRs[csr] = t | zimm; x[rd] = t		{CSRI-I}		{110}
csrrw		RV32I,RV64I	csrrw rd, csr, rs1		 						t = CSRs[csr]; CSRs[csr] = x[rs1]; x[rd] = t0		{CSR-I}			{001}
csrrwi		RV32I,RV64I	csrrwi rd, csr, zimm[4:0]	 						x[rd] = CSRs[csr]; CSRs[csr] = zimm			{CSRI-I}		{101}
csrs		RV32I,RV64I	csrs csr, rs1			 						CSRs[csr] |= x[rs1]					{CSR-I}			{csr rs1 011 x0 1110011}
csrsi		RV32I,RV64I	csrsi csr, zimm[4:0]		 						CSRs[csr] |= zimm					{CSRI-I}		{csr zimm[4:0] 110 x0 1110011}
csrw		RV32I,RV64I	csrw csr, rs1			 						CSRs[csr] = x[rs1]					{CSR-I}			{csr rs1 001 x0 1110011}
csrwi		RV32I,RV64I	csrwi csr, zimm[4:0]		 						CSRs[csr] = zimm					{CSRI-I}		{csr zimm[4:0] 101 x0 1110011}
div		RV32M,RV64M	div rd, rs1, rs2		 						x[rd] = x[rs1] ÷s x[rs2]				{R}			{0000001 100 0110011}
divu		RV32M,RV64M	divu rd, rs1, rs2		 						x[rd] = x[rs1] ÷u x[rs2]				{R}			{0000001 101 0110011}
divuw		RV64M		divuw rd, rs1, rs2		 						x[rd] = sext(x[rs1][31:0] ÷u x[rs2][31:0])		{R}			{0000001 101 0111011}
divw		RV64M		divw rd, rs1, rs2		 						x[rd] = sext(x[rs1][31:0] ÷s x[rs2][31:0])		{R}			{0000001 100 0111011}
ebreak		RV32I,RV64I	ebreak				 						RaiseException(Breakpoint)				{I}			{000000000001 00000 000 00000 1110011}
ecall		RV32I,RV64I	ecall				 						RaiseException(EnvironmentCall)				{I}			{000000000000 00000 000 00000 1110011}
fabs.d		RV32D,RV64D	fabs.d rd, rs1			 						f[rd] = abs([rs1])					{R}			{0010001 rs1 rs1 010 rd 1010011}
fabs.s		RV32F,RV64F	fabs.s rd, rs1			 						f[rd] = abs([rs1])					{R}			{0010000 rs1 rs1 010 rd 1010011}
fadd.d		RV32D,RV64D	fadd.d rd, rs1, rs2		 						f[rd] = f[rs1] + f[rs2]					{F-ARITH-R}		{0000001}
fadd.s		RV32F,RV64F	fadd.s rd, rs1, rs2		 						f[rd] = f[rs1] + f[rs2]					{F-ARITH-R}		{0000000}
fclass.d	RV32D,RV64D	fclass.d rd, rs1, rs2		 						x[rd] = classify d(f[rs1])				{R}			{1110001 00000 rs1 001 rd 1010011}
fclass.s	RV32F,RV64F	fclass.s rd, rs1, rs2		 						x[rd] = classify s(f[rs1])				{R}			{1110000 00000 rs1 001 rd 1010011}
fcvt.d.l	RV64D		fcvt.d.l rd, rs1, rs2		 						f[rd] = f64 s64(x[rs1])					{FCVT-R}		{1101001 00010}
fcvt.d.lu	RV64D		fcvt.d.lu rd, rs1, rs2		 						f[rd] = f64 u64(x[rs1])					{FCVT-R}		{1101001 00011}
fcvt.d.s	RV32D,RV64D	fcvt.d.s rd, rs1, rs2		 						f[rd] = f64 f32(x[rs1])					{FCVT-R}		{0100001 00000}
fcvt.d.w	RV32D,RV64D	fcvt.d.w rd, rs1, rs2		 						f[rd] = f64 s32(x[rs1])					{FCVT-R}		{1101001 00000}
fcvt.d.wu	RV32D,RV64D	fcvt.d.wu rd, rs1, rs2		 						f[rd] = f64 u32(x[rs1])					{FCVT-R}		{1101001 00001}
fcvt.l.d	RV64D		fcvt.l.d rd, rs1, rs2		 						x[rd] = s64 f64(f[rs1])					{FCVT-R}		{1100001 00010}
fcvt.l.s	RV64F		fcvt.l.s rd, rs1, rs2		 						x[rd] = s64 f32(f[rs1])					{FCVT-R}		{1100000 00010}
fcvt.lu.d	RV64D		fcvt.lu.d rd, rs1, rs		 						x[rd] = u64 f64(f[rs1])					{FCVT-R}		{1100001 00011}
fcvt.lu.s	RV64F		fcvt.lu.s rd, rs1, rs		 						x[rd] = u64 f32(f[rs1])					{FCVT-R}		{1100000 00011}
fcvt.s.d	RV32D,RV64D	fcvt.s.d rd, rs1, rs2		 						x[rd] = f32 f54(f[rs1])					{FCVT-R}		{0100000 00001}
fcvt.s.l	RV64F		fcvt.s.l rd, rs1, rs2		 						x[rd] = f32 s64(f[rs1])					{FCVT-R}		{1101000 00010}
fcvt.s.lu	RV64F		fcvt.s.lu rd, rs1, rs		 						x[rd] = f32 u64(f[rs1])					{FCVT-R}		{1101000 00011}
fcvt.s.w	RV32F,RV64F	fcvt.s.w rd, rs1, rs2		 						x[rd] = f32 s32(f[rs1])					{FCVT-R}		{1101000 00000}
fcvt.s.wu	RV32F,RV64F	fcvt.s.wu rd, rs1, rs		 						x[rd] = f32 u32(f[rs1])					{FCVT-R}		{1101000 00001}
fcvt.w.d	RV32D,RV64D	fcvt.w.d rd, rs1, rs2		 						x[rd] = sext(s32 f64(f[rs1]))				{FCVT-R}		{1100001 00000}
fcvt.wu.d	RV32D,RV64D	fcvt.wu.d rd, rs1, rs		 						x[rd] = sext(u32 f64(f[rs1]))				{FCVT-R}		{1100001 00001}
fcvt.w.s	RV32f,RV64f	fcvt.w.s rd, rs1, rs2		 						x[rd] = sext(s32 f32(f[rs1]))				{FCVT-R}		{1100000 00000}
fcvt.wu.s	RV32F,RV64F	fcvt.wu.s rd, rs1, rs		 						x[rd] = sext(u32 f32(f[rs1]))				{FCVT-R}		{1100000 00001}
fdiv.d		RV32D,RV64D	fdiv.d rd, rs1, rs2		 						f[rd] = f[rs1] / f[rs2]					{F-ARITH-R}		{0001101}
fdiv.s		RV32F,RV64F	fdiv.s rd, rs1, rs2		 						f[rd] = f[rs1] / f[rs2]					{F-ARITH-R}		{0001100}
fence		RV32I,RV64I	fence pred, succ		 						Fence(pred, succ)					{R}			{0000 pred succ 00000 000 00000 0001111}
fence.i		RV32I,RV64I	fence.i				 						Fence(Store, Fetch)					{I}			{000000000000 00000 001 00000 0001111}
feq.d		RV32D,RV64D	feq.d rd, rs1, rs2		 						f[rd] = f[rs1] == f[rs2]				{R}			{1010001 010 1010011}
feq.s		RV32F,RV64F	feq.s rd, rs1, rs2		 						f[rd] = f[rs1] == f[rs2]				{R}			{1010000 010 1010011}
fld		RV32D,RV64D	fld rd, offset(rs1)		 						f[rd] = M[x[rs1]] + sext(off)[63:0]			{I}			{offset[11:0] rs1 011 rd 0000111}
fle.d		RV32D,RV64D	fle.d rd, rs1, rs2		 						x[rd] = f[rs1] <= f[rs2]				{R}			{1010001 000 1010011}
fle.s		RV32F,RV64F	fle.s rd, rs1, rs2		 						x[rd] = f[rs1] <= f[rs2]				{R}			{1010000 000 1010011}
flt.d		RV32D,RV64D	fle.t rd, rs1, rs2		 						x[rd] = f[rs1] < f[rs2]					{R}			{1010001 001 1010011}
flt.s		RV32F,RV64F	flt.s rd, rs1, rs2		 						x[rd] = f[rs1] < f[rs2]					{R}			{1010000 001 1010011}
flw		RV32F,RV64F	flw rd, offset(rs1)		 						f[rd] = M[x[rs1]] + sext(off)[31:0] 			{I}			{offset[11:0] rs1 010 rd 0000111}
fmadd.d		RV32D,RV64D	fmadd.d rd, rs1, rs2, rs3	 						f[rd] = f[rs1] * f[rs2] + f[rs3]			{R4}			{01 1000011}
fmadd.s		RV32F,RV64F	fmadd.s rd, rs1, rs2, rs3	 						f[rd] = f[rs1] * f[rs2] + f[rs3]			{R4}			{00 1000011}
fmax.d		RV32D,RV64D	fmax.d rd, rs1, rs2		 						f[rd] = max(f[rs1], f[rs2])				{R}			{0010101 001 1010011}
fmax.s		RV32F,RV64F	fmax.s rd, rs1, rs2		 						f[rd] = max(f[rs1], f[rs2])				{R}			{0010100 001 1010011}
fmin.d		RV32D,RV64D	fmin.d rd, rs1, rs2		 						f[rd] = min(f[rs1], f[rs2])				{R}			{0010101 000 1010011}
fmin.s		RV32F,RV64F	fmin.s rd, rs1, rs2		 						f[rd] = min(f[rs1], f[rs2])				{R}			{0010100 000 1010011}
fmsub.d		RV32D,RV64D	fmsub.d rd, rs1, rs2, rs3	 						f[rd] = f[rs1] * f[rs2] - f[rs3]			{R4}			{01 1000111}
fmsub.s		RV32F,RV64F	fmsub.s rd, rs1, rs2, rs3	 						f[rd] = f[rs1] * f[rs2] - f[rs3]			{R4}			{00 1000111}
fmul.d		RV32D,RV64D	fmul.d rd, rs1, rs2		 						f[rd] = f[rs1] * f[rs2]					{F-ARITH-R}		{0001001}
fmul.s		RV32F,RV64F	fmul.s rd, rs1, rs2		 						f[rd] = f[rs1] * f[rs2]					{F-ARITH-R}		{0001000}
fmv.d		RV32D,RV64D	fmv.d rd, rs1			 						f[rd] = f[rs1]						{R}			{0010001 rs1 rs1 000 rd 1010011}
fmv.d.x		RV64D		fmv.d.x rd, rs1, rs2		 						f[rd] = x[rs1][63:0]					{R}			{1111001 00000 rs1 000 rs 1010011}
fmv.s		RV32F,RV64F	fmv.s rd, rs1			 						f[rd] = f[rs1]						{R}			{0010000 rs1 rs1 000 rd 1010011}
fmv.w.x		RV32F,RV64F	fmv.w.x rd, rs1, rs2		 						f[rd] = x[rs1][31:0]					{R}			{1111000 00000 rs1 000 rd 1010011}
fmv.x.d		RV64D		fmv.x.d rd, rs1, rs2		 						x[rd] = f[rs1][63:0]					{R}			{1110001 00000 rs1 000 rd 1010011}
fmv.x.w		RV32F,RV64F	fmv.x.w rd, rs1, rs2		 						x[rd] = sext(f[rs1][31:0])				{R}			{1110000 00000 rs1 000 rd 1010011}
fneg.d		RV32D,RV64D	fneg.d rd, rs1			 						f[rd] = -f[rs1]						{R}			{0010001 rs1 rs1 001 rd 1010011}
fneg.s		RV32F,RV64F	fneg.s rd, rs1			 						f[rd] = -f[rs1]						{R}			{0010000 rs1 rs1 001 rd 1010011}
fnmadd.d	RV32D,RV64D	fnmadd.d rd, rs1, rs2, rs3	 						f[rd] = -f[rs1] * f[rs2] - f[rs3]			{R4}			{01 1001111}
fnmadd.s	RV32F,RV64F	fnmadd.s rd, rs1, rs2, rs3	 						f[rd] = -f[rs1] * f[rs2] - f[rs3]			{R4}			{00 1001111}
fnmsub.d	RV32D,RV64D	fnmsub.d rd, rs1, rs2, rs3	 						f[rd] = -f[rs1] * f[rs2] + f[rs3]			{R4}			{01 1001011}
fnmsub.s	RV32F,RV64F	fnmsub.s rd, rs1, rs2, rs3	 						f[rd] = -f[rs1] * f[rs2] + f[rs3]			{R4}			{00 1001011}
frcsr		RV32F,RV64F	frcsr rd			 						x[rd] = CSRs[fcsr]					{CSR-I}			{fcsr rs1 001 rd 1110011}
frflags		RV32F,RV64F	frflags rd			 						x[rd] = CSRs[fflags]					{CSR-I}			{fflags rs1 001 rd 1110011}
frrm		RV32F,RV64F	frrm rd				 						x[rd] = CSRs[frm]					{CSR-I}			{frm rs1 001 rd 1110011}
fscsr		RV32F,RV64F	fscsr rd, rs1			 						t = CSRs[fcsr]; CSRs[fcsr] = x[rs1]; x[rd] = t		{CSR-I}			{fcsr rs1 001 rd 1110011}
fsd		RV32D,RV64D	fsd rs2, offset(rs1)		 						M[x[rs1] + sext(offset)] = f[rs2][63:0]			{S}			{011 0100111}
fsflags		RV32F,RV64F	fsflags rd, rs1			 						t = CSRs[fflags]; CSRs[fflags] = x[rs1]; x[rd] = t	{CSR-I}			{fflags rs1 001 rd 1110011}
fsgnj.d		RV32D,RV64D	fsgnj.d rd, rs1, rs2		 						f[rd] = {f[rs2][63], f[rs1][62:0]}			{R}			{0010001 000 1010011}
fsgnj.s		RV32F,RV64F	fsgnj.s rd, rs1, rs2		 						f[rd] = {f[rs2][31], f[rs1][30:0]}			{R}			{0010000 000 1010011}
fsgnjn.d	RV32D,RV64D	fsgnjn.d rd, rs1, rs2		 						f[rd] = {~f[rs2][63], f[rs1][62:0]}			{R}			{0010001 001 1010011}
fsgnjn.s	RV32F,RV64F	fsgnjn.s rd, rs1, rs2		 						f[rd] = {~f[rs2][31], f[rs1][30:0]}			{R}			{0010000 001 1010011}
